CustomerID,Id khách hàng,Company(Đơn vị),City(Thành phố),Province(Tỉnh),Province Code(Mã vùng),District(Quận Huyện),District Code(Mã Quận Huyện),Ward(Phường Xã),Ward Code(Mã Phường Xã),Country(Quốc gia),Country Code(Mã quốc gia),Zip,Accepts Marketing(Nhận quảng cáo),Tags,Note(Ghi chú),Giới tính,Ngày sinh,Total Spent(Tổng chi tiêu),Total Orders(Tổng đơn hàng)
KH00077,17445846,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00078,17445847,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00079,17445848,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00080,17445849,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00081,17445850,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00082,17445851,,,,,,,,,,,,no,,,female,,0,0
KH00083,17445852,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00084,17445853,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00085,17445854,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00086,17445855,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00087,17445856,,,,,,,,,Vietnam,VN,,yes,,,male,2001-02-01,960000,2
KH00088,17445857,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00089,17445858,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00090,17445859,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00091,17445860,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00092,17445861,,Kon Tum,Kon Tum,34.0,,,,,Vietnam,VN,,no,,,female,,0,0
KH00093,17445862,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00094,17445863,,,,,,,,,,,,no,,,female,,0,0
KH00095,17445864,,,,,,,,,,,,no,,,female,,0,0
KH00096,17445865,,,,,,,,,,,,no,,,male,,0,0
KH00097,17445866,,,,,,,,,,,,no,,,male,,0,0
KH00098,17445867,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00099,17445868,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00100,17445869,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00101,17445870,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00102,17445871,,,,,,,,,,,,no,,,other,,0,0
KH00103,17445872,,,,,,,,,,,,no,,,female,,0,0
KH00104,17445873,,,,,,,,,,,,no,,,female,,0,0
KH00105,17445874,,,,,,,,,,,,no,,,male,,0,0
KH00106,17445875,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00107,17445876,,,,,,,,,,,,no,,,male,,0,0
KH00108,17445877,,,,,,,,,,,,no,,,male,,0,0
KH00109,17445878,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00110,17445879,,,,,,,,,,,,no,,,female,,0,0
KH00111,17445880,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00112,17445881,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00113,17445882,,,,,,,,,,,,no,,,male,,0,0
KH00114,17445883,,,,,,,,,,,,no,,,female,,0,0
KH00115,17445884,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00116,17445885,,,,,,,,,,,,no,,,male,,0,0
KH00117,17445886,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00118,17445887,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00119,17445888,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00120,17445889,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00121,17445890,,,,,,,,,,,,no,,,female,,0,0
KH00122,17445891,,,,,,,,,,,,no,,,male,,0,0
KH00123,17445892,,,,,,,,,,,,no,,,female,,0,0
KH00124,17445893,,,,,,,,,,,,no,,,female,,0,0
KH00125,17445895,,,,,,,,,,,,no,,,male,,0,0
KH00126,17445896,,,,,,,,,,,,no,,,female,,0,0
KH00127,17445897,,,,,,,,,,,,no,,,female,,0,0
KH00128,17445898,,,,,,,,,,,,no,,,male,,1460000,1
KH00129,17445899,,,,,,,,,,,,no,,,male,,0,0
KH00130,17445900,,,,,,,,,,,,no,,,male,,0,0
KH00131,17445901,,,,,,,,,,,,no,,,female,,0,0
KH00132,17445902,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00133,17445903,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00134,17445904,,,,,,,,,,,,no,,,male,,0,0
KH00135,17445905,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00136,17445906,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00137,17445907,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00138,17445908,,,,,,,,,,,,no,,,male,,0,0
KH00139,17445909,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00140,17445910,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00141,17445911,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00142,17445912,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00143,17445913,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00144,17445914,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00145,17445915,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00146,17445916,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00147,17445917,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00148,17445918,,,,,,,,,,,,no,,,male,,0,0
KH00149,17445919,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00150,17445920,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00151,17445921,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00152,17445922,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00153,17445923,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00154,17445924,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00155,17445925,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00156,17445926,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00157,17445927,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00158,17445928,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00159,17445929,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00160,17445930,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00161,17445931,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00162,17445932,,,,,,,,,,,,no,,,female,,0,0
KH00163,17445933,,,,,,,,,,,,no,,,male,,0,0
KH00164,17445934,,,,,,,,,,,,no,,,female,,0,0
KH00165,17445935,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00166,17445936,,,,,,,,,,,,no,,,male,,0,0
KH00167,17445937,,,,,,,,,,,,no,,,male,,0,0
KH00168,17445938,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00169,17445939,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00170,17445940,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00171,17445941,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00172,17445942,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00173,17445943,,,,,,,,,,,,no,,,male,,3500000,1
KH00174,17445944,,,,,,,,,,,,no,,,male,,0,0
KH00175,17445945,,,,,,,,,,,,no,,,male,,0,0
KH00176,17445946,,,,,,,,,Vietnam,VN,,no,,,male,,1350000,2
KH00177,17445947,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00178,17445948,,,,,,,,,,,,no,,,male,,0,0
KH00179,17445949,,,,,,,,,,,,no,,,other,,0,0
KH00180,17445950,,,,,,,,,,,,no,,,female,,0,0
KH00181,17445951,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00182,17445952,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00183,17445953,,,,,,,,,,,,no,,,male,,0,0
KH00184,17445954,,,,,,,,,,,,no,,,other,,0,0
KH00185,17445955,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00186,17445956,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00187,17445957,,,,,,,,,,,,no,,,male,,0,0
KH00188,17445958,,,,,,,,,,,,no,,,male,,0,0
KH00189,17445959,,,,,,,,,,,,no,,,female,,0,0
KH00190,17445960,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00191,17445961,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00192,17445962,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00193,17445963,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00194,17445964,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00195,17445965,,,,,,,,,,,,no,,,male,,0,0
KH00196,17445966,,,,,,,,,,,,no,,,female,,0,0
KH00197,17445967,,,,,,,,,,,,no,,,female,,0,0
KH00198,17445968,,,,,,,,,,,,no,,,male,,0,0
KH00199,17445969,,Tây Ninh,Tây Ninh,53.0,,,,,Vietnam,VN,,no,,,male,,0,0
KH00200,17445970,,,,,,,,,Vietnam,VN,,no,,27 đường 38 thảo điền q2,male,,0,0
KH00201,17445971,,,,,,,,,,,,no,,,male,,0,0
KH00202,17445972,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00203,17445973,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00204,17445974,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00205,17445975,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00206,17445976,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00207,17445977,,,,,,,,,,,,no,,,male,,0,0
KH00208,17445978,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00209,17445979,,,,,,,,,,,,no,,,female,,0,0
KH00210,17445980,,,,,,,,,,,,no,,,male,,0,0
KH00211,17445981,,,,,,,,,,,,no,,,female,,0,0
KH00212,17445982,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00213,17445983,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00214,17445984,,TP Hồ Chí Minh,TP Hồ Chí Minh,2.0,Quận Phú Nhuận,46.0,Phường 9,9327.0,Vietnam,VN,,no,sapo_social,,other,,620000,1
KH00215,17445985,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00216,17445986,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00217,17445987,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00218,17445988,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00219,17445989,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00220,17445990,,,,,,,,,,,,no,,,female,,0,0
KH00221,17445991,,,,,,,,,,,,no,,,male,,0,0
KH00222,17445992,,,,,,,,,,,,no,,,male,,0,0
KH00223,17445993,,,,,,,,,Vietnam,VN,,no,,,male,,425000,1
KH00224,17445994,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00225,17445995,,,,,,,,,,,,no,,,female,,0,0
KH00226,17445996,,,,,,,,,,,,no,,,male,,0,0
KH00227,17445997,,,,,,,,,,,,no,,,male,,0,0
KH00228,17445998,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00229,17445999,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00230,17446000,,,,,,,,,,,,no,,,female,,0,0
KH00231,17446001,,,,,,,,,,,,no,,,male,,0,0
KH00232,17446002,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00233,17446003,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00234,17446004,,,,,,,,,,,,no,,,male,,0,0
KH00235,17446005,,,,,,,,,,,,no,,,male,,0,0
KH00236,17446006,,,,,,,,,,,,no,,,male,,0,0
KH00237,17446007,,,,,,,,,,,,no,,,female,,0,0
KH00238,17446008,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00239,17446009,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00240,17446010,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00241,17446011,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00242,17446012,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00243,17446013,,,,,,,,,,,,no,,,male,,0,0
KH00244,17446014,,,,,,,,,,,,no,,,male,,0,0
KH00245,17446015,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00246,17446016,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00247,17446017,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00248,17446018,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00249,17446019,,,,,,,,,,,,no,,,female,,0,0
KH00250,17446020,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00251,17446021,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00252,17446022,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00253,17446024,,,,,,,,,,,,no,,,male,,0,0
KH00254,17446025,,,,,,,,,,,,no,,,male,,0,0
KH00255,17446026,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00256,17446027,,,,,,,,,,,,no,,,other,,0,0
KH00257,17446028,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00258,17446029,,TP Hồ Chí Minh,TP Hồ Chí Minh,2.0,Huyện Bình Chánh,51.0,Xã Vĩnh Lộc A,9511.0,Vietnam,VN,,no,,,male,,835000,1
KH00259,17446030,,,,,,,,,,,,no,,,male,,0,0
KH00260,17446031,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00261,17446032,,,,,,,,,,,,no,,,female,,0,0
KH00262,17446033,,,,,,,,,,,,no,,,male,,0,0
KH00263,17446034,,,,,,,,,,,,no,,,male,,0,0
KH00264,17446035,,Bình Dương,Bình Dương,10.0,,,,,Vietnam,VN,,no,,,male,,0,0
KH00265,17446036,,,,,,,,,,,,no,,,female,,0,0
KH00266,17446037,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00267,17446038,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00268,17446039,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00269,17446040,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00270,17446041,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00271,17446042,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00272,17446043,,,,,,,,,,,,no,,,male,,0,0
KH00273,17446044,,,,,,,,,,,,no,,,male,,0,0
KH00274,17446045,,,,,,,,,,,,no,,,male,,0,0
KH00275,17446046,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00276,17446047,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00277,17446048,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00278,17446049,,TP Hồ Chí Minh,TP Hồ Chí Minh,2.0,Quận 5,34.0,Phường 3,9413.0,Vietnam,VN,,no,sapo_social,,male,,2600000,1
KH00279,17446050,,,,,,,,,,,,no,,,male,,0,0
KH00280,17446051,,,,,,,,,,,,no,,,male,,0,0
KH00281,17446052,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00282,17446053,,,,,,,,,,,,no,,,male,,0,0
KH00283,17446054,CÔNG TY CỔ PHẦN MANNY,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00284,17446055,,,,,,,,,,,,no,,,female,,0,0
KH00285,17446056,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00286,17446057,,,,,,,,,,,,no,,,female,,0,0
KH00287,17446058,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00288,17446059,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00289,17446060,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00290,17446061,,,,,,,,,,,,no,,,male,,0,0
KH00291,17446062,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00292,17446063,,,,,,,,,,,,no,,,male,,0,0
KH00293,17446064,,,,,,,,,,,,no,,,male,,0,0
KH00294,17446065,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00295,17446066,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00296,17446067,,,,,,,,,,,,no,,,female,,0,0
KH00297,17446068,,,,,,,,,,,,no,,,male,,0,0
KH00298,17446069,,,,,,,,,,,,no,,,male,,0,0
KH00299,17446070,,,,,,,,,,,,no,,,male,,550000,1
KH00300,17446071,,,,,,,,,,,,no,,,female,,0,0
KH00301,17446072,,,,,,,,,,,,no,,,female,,0,0
KH00302,17446073,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00303,17446074,,,,,,,,,Vietnam,VN,,no,,,male,,1180000,1
KH00304,17446075,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00305,17446076,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00306,17446077,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00307,17446078,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00308,17446079,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00309,17446080,,Khánh Hòa,Khánh Hòa,32.0,,,,,Vietnam,VN,,no,,,male,,0,0
KH00310,17446081,,,,,,,,,,,,no,,,male,,0,0
KH00311,17446082,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00312,17446083,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00313,17446084,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00314,17446085,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00315,17446086,,,,,,,,,,,,no,,,female,,0,0
KH00316,17446087,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00317,17446088,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00318,17446089,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00319,17446090,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00320,17446091,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00321,17446092,,,,,,,,,,,,no,,,female,,0,0
KH00322,17446093,,,,,,,,,,,,no,,,female,,0,0
KH00323,17446094,,,,,,,,,,,,no,,,male,,0,0
KH00324,17446095,,,,,,,,,,,,no,,,female,,0,0
KH00325,17446096,,,,,,,,,,,,no,,,female,,0,0
KH00326,17446097,,,,,,,,,,,,no,,,male,,0,0
KH00327,17446098,,TP Hồ Chí Minh,TP Hồ Chí Minh,2.0,Quận 3,32.0,Phường Võ Thị Sáu,107463.0,Vietnam,VN,,no,sapo_social,,male,,1006000,2
KH00328,17446099,,,,,,,,,,,,no,,,female,,0,0
KH00329,17446100,,,,,,,,,,,,no,,,male,,0,0
KH00330,17446101,,Bình Dương,Bình Dương,10.0,,,,,Vietnam,VN,,no,,,female,,0,0
KH00331,17446102,,,,,,,,,,,,no,,,male,,0,0
KH00332,17446103,,Bình Dương,Bình Dương,10.0,,,,,Vietnam,VN,,no,,,male,,0,0
KH00333,17446104,,,,,,,,,,,,no,,,male,,0,0
KH00334,17446105,,,,,,,,,,,,no,,,male,,0,0
KH00335,17446106,,,,,,,,,,,,no,,,female,,0,0
KH00336,17446107,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00337,17446108,,,,,,,,,,,,no,,,male,,0,0
KH00338,17446109,,,,,,,,,,,,no,,,male,,0,0
KH00339,17446110,,,,,,,,,,,,no,,,male,,0,0
KH00340,17446111,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00341,17446112,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00342,17446113,,Phú Yên,Phú Yên,45.0,,,,,Vietnam,VN,,no,,,male,,0,0
KH00343,17446114,,,,,,,,,,,,no,,,female,,0,0
KH00344,17446115,,,,,,,,,,,,no,,,male,,0,0
KH00345,17446116,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00346,17446118,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00347,17446119,,,,,,,,,,,,no,,,male,,0,0
KH00348,17446120,,,,,,,,,,,,no,,,male,,0,0
KH00349,17446121,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00350,17446122,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00351,17446123,,,,,,,,,,,,no,,,male,,0,0
KH00352,17446124,,,,,,,,,,,,no,,,male,,0,0
KH00353,17446125,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00354,17446126,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00355,17446127,,,,,,,,,,,,no,,,female,,0,0
KH00356,17446128,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00357,17446129,,,,,,,,,,,,no,,,female,,0,0
KH00358,17446130,,,,,,,,,,,,no,,,male,,0,0
KH00359,17446131,,,,,,,,,,,,no,,,male,,0,0
KH00360,17446132,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00361,17446133,,,,,,,,,,,,no,,,male,,0,0
KH00362,17446134,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00363,17446135,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00364,17446136,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00365,17446137,,,,,,,,,,,,no,,,female,,0,0
KH00366,17446138,,,,,,,,,,,,no,,,male,,0,0
KH00367,17446139,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00368,17446140,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00369,17446141,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00370,17446142,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00371,17446143,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00372,17446144,,,,,,,,,,,,no,,,female,,0,0
