STT,Mã đơn hàng,Nguồn,Nhân viên tạo đơn,Mã SKU,Số lượng sản phẩm,Giá sản phẩm,Tổng số lượng sản phẩm,Tổng tiền,Ngày tạo đơn
324.0,HD4879,POS,Sale Kim Yến,CTG000541,1,1300000,1,1300000,15-02-2026 16:36
330.0,HD4873,POS,Sale Kim Yến,CTG000534,1,1220000,1,1220000,15-02-2026 14:34
333.0,HD4870,POS,Sale Kim Yến,CTG000356,1,229000,6,579000,15-02-2026 13:21
,HD4870,POS,Sale Kim Yến,CTG000719,5,70000,6,579000,15-02-2026 13:21
337.0,HD4866,Website,,CTG000349,1,350000,1,375000,14-02-2026 20:38
341.0,HD4862,POS,Sale Kim Yến,CTG000760,1,715000,1,715000,14-02-2026 16:29
,HD4861,POS,Sale Kim Yến,CTG000390,1,1750000,3,4270000,14-02-2026 16:26
,HD4861,POS,Sale Kim Yến,CTG000387,1,1300000,3,4270000,14-02-2026 16:26
344.0,HD4859,POS,Sale Kim Yến,CTG000767,1,3245000,1,3245000,14-02-2026 16:06
,HD4847,Facebook,Sale Kim Yến,CTG000757,1,550000,2,1060000,14-02-2026 13:25
358.0,HD4845,POS,Sale Kim Yến,CTG000624,1,795000,8,6935000,14-02-2026 12:55
,HD4845,POS,Sale Kim Yến,CTG000623,2,890000,8,6935000,14-02-2026 12:55
,HD4845,POS,Sale Kim Yến,CTG000819,2,980000,8,6935000,14-02-2026 12:55
362.0,HD4841,POS,Sale Kim Yến,PK0011,1,90000,4,2094000,14-02-2026 11:52
,HD4841,POS,Sale Kim Yến,CTG000649,1,891000,4,2094000,14-02-2026 11:52
,HD4841,POS,Sale Kim Yến,,1,200000,4,2094000,14-02-2026 11:52
,HD4841,POS,Sale Kim Yến,CTG000763,1,913000,4,2094000,14-02-2026 11:52
363.0,HD4840,POS,Sale Kim Yến,CTG000547,1,300000,1,300000,14-02-2026 11:45
364.0,HD4839,POS,Sale Kim Yến,CTG000377,2,990000,2,1881000,14-02-2026 11:17
365.0,HD4838,POS,Sale Kim Yến,CTG000700,1,940000,1,940000,14-02-2026 11:15
366.0,HD4837,POS,Sale Kim Yến,CTG000650,1,850000,2,3550000,14-02-2026 11:02
376.0,HD4827,POS,Sale Kim Yến,CTG000562,1,709000,6,5295000,13-02-2026 20:08
,HD4827,POS,Sale Kim Yến,BKT242382,1,550000,6,5295000,13-02-2026 20:08
,HD4827,POS,Sale Kim Yến,CTG000494,1,951000,6,5295000,13-02-2026 20:08
,HD4827,POS,Sale Kim Yến,CTG000427,1,1450000,6,5295000,13-02-2026 20:08
,HD4827,POS,Sale Kim Yến,CTG000407,1,885000,6,5295000,13-02-2026 20:08
,HD4827,POS,Sale Kim Yến,CTG000577,1,750000,6,5295000,13-02-2026 20:08
379.0,HD4824,POS,Sale Kim Yến,CTG000646,2,425000,4,1850000,13-02-2026 19:32
386.0,HD4817,Zalo,CTG,CTG000547,6,300000,6,1800000,13-02-2026 17:53
397.0,HD4806,POS,Sale Kim Yến,CTG000717,1,650000,2,1199000,13-02-2026 15:25
,HD4806,POS,Sale Kim Yến,CTG000653,1,549000,2,1199000,13-02-2026 15:25
407.0,HD4796,POS,Sale Kim Yến,CTG000722,2,440000,6,4680000,13-02-2026 14:04
,HD4796,POS,Sale Kim Yến,,4,950000,6,4680000,13-02-2026 14:04
436.0,HD4767,Zalo,CTG,CTG000651,1,850000,1,865000,12-02-2026 17:15
445.0,HD4758,Zalo,Sale Kim Yến,CTG000722,12,400000,12,4835000,12-02-2026 16:02
446.0,HD4757,POS,Sale Kim Yến,CTG000649,1,891000,1,891000,12-02-2026 15:49
450.0,HD4753,POS,Sale Kim Yến,CTG000700,1,940000,1,900000,12-02-2026 14:54
,HD4752,Zalo,Sale Kim Yến,CTG000861,1,750000,2,1255000,12-02-2026 14:47
458.0,HD4745,POS,Sale Kim Yến,CTG000546,1,650000,2,1400000,12-02-2026 11:44
,HD4745,POS,Sale Kim Yến,CTG000577,1,750000,2,1400000,12-02-2026 11:44
,HD4744,POS,Sale Kim Yến,CTG000432,1,1850000,4,3090000,12-02-2026 11:23
,HD4744,POS,Sale Kim Yến,,1,200000,4,3090000,12-02-2026 11:23
,HD4730,POS,Sale Kim Yến,CTG000368,1,440000,4,2030000,11-02-2026 19:58
,HD4730,POS,Sale Kim Yến,CTG000370,1,440000,4,2030000,11-02-2026 19:58
,HD4730,POS,Sale Kim Yến,CTG000724,1,440000,4,2030000,11-02-2026 19:58
477.0,HD4726,POS,Sale Kim Yến,CTG000757,1,550000,1,550000,11-02-2026 19:35
485.0,HD4717,POS,Sale Kim Yến,CTG000860,1,1600000,1,1600000,11-02-2026 18:24
486.0,HD4716,POS,Sale Kim Yến,CTG000577,1,750000,1,750000,11-02-2026 18:17
487.0,HD4715,POS,Sale Kim Yến,PK00010,1,250000,3,1440000,11-02-2026 18:01
,HD4715,POS,Sale Kim Yến,CTG000430,2,595000,3,1440000,11-02-2026 18:01
488.0,HD4714,Admin,Sale Kim Yến,BKT242382,6,550000,44,21928500,11-02-2026 18:00
,HD4714,Admin,Sale Kim Yến,CTG000745,3,750000,44,21928500,11-02-2026 18:00
,HD4714,Admin,Sale Kim Yến,CTG000547,6,300000,44,21928500,11-02-2026 18:00
,HD4714,Admin,Sale Kim Yến,CTG000577,3,750000,44,21928500,11-02-2026 18:00
,HD4714,Admin,Sale Kim Yến,CTG000455,3,759000,44,21928500,11-02-2026 18:00
,HD4714,Admin,Sale Kim Yến,CTG000378,4,357000,44,21928500,11-02-2026 18:00
,HD4714,Admin,Sale Kim Yến,CTG000475,6,540000,44,21928500,11-02-2026 18:00
,HD4714,Admin,Sale Kim Yến,CTG000660,3,950000,44,21928500,11-02-2026 18:00
,HD4714,Admin,Sale Kim Yến,CTG000636,4,530000,44,21928500,11-02-2026 18:00
,HD4714,Admin,Sale Kim Yến,CTG000662,6,500000,44,21928500,11-02-2026 18:00
491.0,HD4711,Facebook,Sale Kim Yến,CTG000368,1,440000,2,930000,11-02-2026 17:38
,HD4711,Facebook,Sale Kim Yến,CTG000723,1,440000,2,930000,11-02-2026 17:38
498.0,HD4704,Zalo,Sale Kim Yến,,16,1680000,16,26880000,11-02-2026 15:12
504.0,HD4698,Zalo,Sale Kim Yến,CTG000546,1,650000,1,650000,11-02-2026 13:07
506.0,HD4696,Zalo,Sale Kim Yến,CTG000700,2,940000,2,1880000,11-02-2026 12:29
511.0,HD4691,Zalo,Sale Kim Yến,CTG000722,3,440000,9,2574000,11-02-2026 11:30
,HD4691,Zalo,Sale Kim Yến,,6,170000,9,2574000,11-02-2026 11:30
519.0,HD4683,Admin,CTG,,18,1680000,18,29937600,10-02-2026 23:00
523.0,HD4678,POS,Sale Kim Yến,CTG000757,1,550000,1,550000,10-02-2026 20:50
530.0,HD4671,POS,Sale Kim Yến,CTG000547,1,300000,1,300000,10-02-2026 20:03
546.0,HD4655,POS,Sale Kim Yến,CTG000757,1,550000,1,550000,10-02-2026 17:33
550.0,HD4651,POS,Sale Kim Yến,CTG000606,2,300000,2,600000,10-02-2026 15:30
553.0,HD4648,Zalo,Sale Kim Yến,CTG000443,1,2330000,1,2365000,10-02-2026 14:58
556.0,HD4645,POS,Sale Kim Yến,CTG000425,1,600000,1,600000,10-02-2026 14:37
558.0,HD4643,Zalo,Sale Kim Yến,CTG000351,1,1350000,2,2250000,10-02-2026 14:29
,HD4643,Zalo,Sale Kim Yến,CTG000590,1,900000,2,2250000,10-02-2026 14:29
,HD4640,POS,Sale Kim Yến,CTG000861,1,750000,4,2170000,10-02-2026 13:37
562.0,HD4639,POS,Sale Kim Yến,,1,250000,8,13860000,10-02-2026 13:28
,HD4639,POS,Sale Kim Yến,CTG000379,2,1500000,8,13860000,10-02-2026 13:28
570.0,HD4631,Zalo,Sale Kim Yến,CTG000649,6,891000,6,5704182,10-02-2026 11:35
572.0,HD4629,Facebook,Sale Kim Yến,CTG000420,1,2100000,2,2250000,10-02-2026 11:22
,HD4629,Facebook,Sale Kim Yến,PK0009,1,150000,2,2250000,10-02-2026 11:22
579.0,HD4621,Zalo,Sale Kim Yến,CTG000547,2,300000,2,624500,10-02-2026 10:32
580.0,HD4620,Website,,CTG000700,2,940000,3,4595000,10-02-2026 10:16
,HD4612,POS,CTG,CTG000606,1,314000,3,2234000,09-02-2026 20:23
,HD4612,POS,CTG,CTG000547,1,300000,3,2234000,09-02-2026 20:23
594.0,HD4606,POS,CTG,,1,250000,3,4030000,09-02-2026 18:35
,HD4606,POS,CTG,CTG000434,2,2100000,3,4030000,09-02-2026 18:35
597.0,HD4603,POS,CTG,PK00010,1,250000,1,250000,09-02-2026 17:24
,HD4595,Zalo,CTG,,10,1500000,73,24850000,09-02-2026 15:45
611.0,HD4589,Facebook,CTG,CTG000722,3,440000,8,3520000,09-02-2026 13:47
,HD4589,Facebook,CTG,CTG000370,2,440000,8,3520000,09-02-2026 13:47
,HD4589,Facebook,CTG,CTG000368,2,440000,8,3520000,09-02-2026 13:47
,HD4589,Facebook,CTG,CTG000723,1,440000,8,3520000,09-02-2026 13:47
614.0,HD4586,POS,CTG,CTG000860,1,1600000,3,2899000,09-02-2026 13:23
,HD4586,POS,CTG,CTG000700,1,940000,3,2899000,09-02-2026 13:23
621.0,HD4579,Zalo,CTG,CTG000647,3,390000,3,1287000,09-02-2026 11:29
622.0,HD4578,Zalo,CTG,PK00010,1,200000,3,1650000,09-02-2026 11:19
,HD4578,Zalo,CTG,CTG000382,2,725000,3,1650000,09-02-2026 11:19
628.0,HD4572,Zalo,CTG,CTG000649,9,690000,9,6210000,09-02-2026 10:47
630.0,HD4570,Zalo,PR 02,CTG000762,0,825000,0,30000,09-02-2026 10:32
632.0,HD4568,POS,PR 02,CTG000698,3,380000,3,1100000,09-02-2026 10:16
638.0,HD4562,POS,Sale Kim Yến,CTG000700,2,940000,2,1880000,08-02-2026 19:47
641.0,HD4559,POS,Sale Kim Yến,CTG000700,2,940000,2,1880000,08-02-2026 18:33
642.0,HD4558,Zalo,Sale Kim Yến,CTG000450,1,1800000,1,1840000,08-02-2026 18:15
648.0,HD4552,Zalo,Sale Kim Yến,CTG000546,2,650000,2,1340000,08-02-2026 16:02
,HD4548,POS,Sale Kim Yến,CTG000547,1,300000,6,2145000,08-02-2026 14:38
,HD4548,POS,Sale Kim Yến,BKT242382,2,550000,6,2145000,08-02-2026 14:38
,HD4546,POS,Sale Kim Yến,CTG000646,1,425000,2,3975000,08-02-2026 13:42
655.0,HD4545,POS,Sale Kim Yến,CTG000388,1,1500000,4,2529000,08-02-2026 12:54
,HD4545,POS,Sale Kim Yến,,1,200000,4,2529000,08-02-2026 12:54
662.0,HD4538,POS,Sale Kim Yến,PK0012,2,90000,6,3594000,08-02-2026 10:40
,HD4538,POS,Sale Kim Yến,CTG000649,4,891000,6,3594000,08-02-2026 10:40
664.0,HD4536,POS,Sale Kim Yến,CTG000475,1,540000,2,958000,08-02-2026 10:01
,HD4536,POS,Sale Kim Yến,CTG000493,1,418000,2,958000,08-02-2026 10:01
671.0,HD4529,POS,Sale Kim Yến,,1,700000,2,1230000,07-02-2026 18:57
,HD4529,POS,Sale Kim Yến,CTG000636,1,530000,2,1230000,07-02-2026 18:57
677.0,HD4523,POS,Sale Kim Yến,CTG000860,1,1600000,1,1600000,07-02-2026 15:59
680.0,HD4520,Zalo,Sale Kim Yến,CTG000757,5,550000,14,5361000,07-02-2026 15:28
,HD4520,Zalo,Sale Kim Yến,PK0011,4,90000,14,5361000,07-02-2026 15:28
,HD4520,Zalo,Sale Kim Yến,PK0012,2,90000,14,5361000,07-02-2026 15:28
,HD4520,Zalo,Sale Kim Yến,CTG000704,1,450000,14,5361000,07-02-2026 15:28
,HD4520,Zalo,Sale Kim Yến,CTG000376,1,514000,14,5361000,07-02-2026 15:28
,HD4520,Zalo,Sale Kim Yến,CTG000471,1,1107000,14,5361000,07-02-2026 15:28
682.0,HD4518,POS,Sale Kim Yến,CTG000547,1,300000,2,1250000,07-02-2026 14:38
683.0,HD4517,POS,Sale Kim Yến,CTG000471,1,1107000,2,1307000,07-02-2026 14:08
,HD4517,POS,Sale Kim Yến,,1,200000,2,1307000,07-02-2026 14:08
684.0,HD4516,Zalo,Sale Kim Yến,,1,150000,1,180000,07-02-2026 13:51
690.0,HD4510,Website,,CTG000674,1,2450000,2,5520000,07-02-2026 12:13
,HD4510,Website,,CTG000765,1,2970000,2,5520000,07-02-2026 12:13
,HD4509,Zalo,Sale Kim Yến,CTG000757,1,550000,2,1638000,07-02-2026 11:55
692.0,HD4508,Facebook,Sale Kim Yến,CTG000545,1,4850000,2,5551000,07-02-2026 11:22
,HD4508,Facebook,Sale Kim Yến,,1,200000,2,5551000,07-02-2026 11:22
693.0,HD4507,Zalo,Sale Kim Yến,CTG000376,1,514000,2,864000,07-02-2026 11:17
,HD4507,Zalo,Sale Kim Yến,CTG000349,1,350000,2,864000,07-02-2026 11:17
695.0,HD4505,Zalo,CTG,CTG000675,1,1300000,1,1340000,07-02-2026 10:07
698.0,HD4502,Facebook,Sale Kim Yến,CTG000757,1,550000,1,632500,07-02-2026 09:16
701.0,HD4499,Zalo,Sale Kim Yến,CTG000378,1,357000,1,377000,06-02-2026 20:49
,HD4498,POS,Sale Kim Yến,CTG000376,1,514000,32,5178800,06-02-2026 20:43
,HD4489,POS,Sale Kim Yến,CTG000700,1,940000,2,1490000,06-02-2026 19:41
713.0,HD4486,Facebook,Sale Kim Yến,CTG000471,4,1107000,6,4928000,06-02-2026 19:14
,HD4486,Facebook,Sale Kim Yến,,2,250000,6,4928000,06-02-2026 19:14
716.0,HD4483,POS,Sale Kim Yến,CTG000378,1,357000,1,357000,06-02-2026 17:52
718.0,HD4481,POS,Sale Kim Yến,CTG000393,1,1208000,2,1358000,06-02-2026 17:40
,HD4481,POS,Sale Kim Yến,,1,150000,2,1358000,06-02-2026 17:40
727.0,HD4472,POS,Sale Kim Yến,,1,950000,3,2050000,06-02-2026 16:04
,HD4471,POS,Sale Kim Yến,CTG000471,1,1107000,2,2000000,06-02-2026 15:54
729.0,HD4470,POS,Sale Kim Yến,CTG000698,2,380000,3,1480000,06-02-2026 15:45
,HD4470,POS,Sale Kim Yến,CTG000499,1,720000,3,1480000,06-02-2026 15:45
733.0,HD4466,POS,Sale Kim Yến,CTG000673,1,880000,1,880000,06-02-2026 14:35
743.0,HD4456,Zalo,CTG,,2,250000,2,550000,06-02-2026 10:53
745.0,HD4454,Zalo,Sale Kim Yến,CTG000649,10,800000,10,8000000,06-02-2026 10:32
750.0,HD4449,POS,CTG,PK0011,2,90000,2,180000,06-02-2026 09:50
751.0,HD4448,POS,CTG,CTG000649,1,891000,3,2198000,06-02-2026 09:42
,HD4448,POS,CTG,CTG000471,1,1107000,3,2198000,06-02-2026 09:42
,HD4448,POS,CTG,PK00010,1,250000,3,2198000,06-02-2026 09:42
756.0,HD4443,Zalo,CTG,CTG000649,18,891000,18,17641800,06-02-2026 01:12
759.0,HD4440,POS,Sale Kim Yến,PK00010,1,250000,3,2464000,05-02-2026 20:05
,HD4440,POS,Sale Kim Yến,CTG000471,2,1107000,3,2464000,05-02-2026 20:05
,HD4439,POS,Sale Kim Yến,CTG000700,1,940000,3,3290000,05-02-2026 20:00
776.0,HD4423,POS,Sale Kim Yến,CTG000616,1,605000,1,605000,05-02-2026 15:53
,HD4422,Zalo,CTG,CTG000388,1,1500000,2,2570000,05-02-2026 15:41
781.0,HD4418,POS,Sale Kim Yến,CTG000525,1,1390000,2,2890000,05-02-2026 12:27
,HD4418,POS,Sale Kim Yến,CTG000515,1,1500000,2,2890000,05-02-2026 12:27
784.0,HD4415,Zalo,Sale Kim Yến,CTG000378,2,357000,4,1464000,05-02-2026 11:26
,HD4415,Zalo,Sale Kim Yến,CTG000349,2,350000,4,1464000,05-02-2026 11:26
788.0,HD4411,Website,,CTG000370,2,440000,2,880000,05-02-2026 10:44
791.0,HD4408,POS,Sale Kim Yến,CTG000568,1,700000,2,800000,05-02-2026 10:17
,HD4408,POS,Sale Kim Yến,,1,100000,2,800000,05-02-2026 10:17
794.0,HD4405,POS,Sale Kim Yến,CTG000723,1,440000,1,440000,05-02-2026 09:28
810.0,HD4389,POS,Sale Kim Yến,CTG000646,1,425000,3,1865000,04-02-2026 12:22
827.0,HD4372,POS,Sale Kim Yến,CTG000349,2,350000,2,675000,03-02-2026 17:39
833.0,HD4366,POS,Sale Kim Yến,,1,200000,2,350000,03-02-2026 15:23
,HD4366,POS,Sale Kim Yến,PK0009,1,150000,2,350000,03-02-2026 15:23
836.0,HD4363,Zalo,Sale Kim Yến,PK0009,1,150000,9,5562500,03-02-2026 14:38
,HD4363,Zalo,Sale Kim Yến,CTG000757,2,550000,9,5562500,03-02-2026 14:38
,HD4363,Zalo,Sale Kim Yến,CTG000577,6,750000,9,5562500,03-02-2026 14:38
841.0,HD4358,POS,Sale Kim Yến,CTG000376,1,514000,2,964000,03-02-2026 10:17
,HD4358,POS,Sale Kim Yến,CTG000704,1,450000,2,964000,03-02-2026 10:17
846.0,HD4353,POS,CTG,CTG000646,2,425000,2,800000,02-02-2026 20:08
863.0,HD4336,POS,CTG,CTG000349,1,350000,1,350000,02-02-2026 12:41
868.0,HD4331,POS,CTG,CTG000861,1,750000,1,750000,02-02-2026 11:10
869.0,HD4330,POS,CTG,PK0009,1,150000,2,1950000,02-02-2026 10:04
,HD4330,POS,CTG,CTG000397,1,1850000,2,1950000,02-02-2026 10:04
872.0,HD4327,Facebook,Sale Kim Yến,CTG000700,1,940000,1,1010000,01-02-2026 20:11
877.0,HD4322,POS,Sale Kim Yến,CTG000616,1,605000,3,2130000,01-02-2026 16:56
,HD4322,POS,Sale Kim Yến,CTG000762,1,825000,3,2130000,01-02-2026 16:56
,HD4322,POS,Sale Kim Yến,CTG000615,1,750000,3,2130000,01-02-2026 16:56
881.0,HD4318,Zalo,Sale Kim Yến,CTG000700,2,940000,2,1880000,01-02-2026 15:54
882.0,HD4317,POS,Sale Kim Yến,PK0009,1,150000,2,1750000,01-02-2026 15:43
,HD4317,POS,Sale Kim Yến,CTG000860,1,1600000,2,1750000,01-02-2026 15:43
890.0,HD4309,POS,Sale Kim Yến,PK0009,1,150000,1,150000,01-02-2026 10:30
905.0,HD4294,POS,CTG,CTG000724,1,440000,1,390000,31-01-2026 17:33
907.0,HD4292,POS,CTG,CTG000595,1,790000,1,746500,31-01-2026 16:53
916.0,HD4283,POS,Sale Kim Yến,CTG000613,1,70000,2,140000,31-01-2026 13:25
,HD4283,POS,Sale Kim Yến,CTG000719,1,70000,2,140000,31-01-2026 13:25
922.0,HD4277,Zalo,CTG,CTG000757,4,520000,4,2288000,31-01-2026 11:15
927.0,HD4272,Facebook,CTG,CTG000700,1,940000,1,1000000,31-01-2026 10:14
928.0,HD4271,Admin,CTG,,18,1680000,18,29937600,31-01-2026 08:43
,HD4269,POS,CTG,,1,300000,15,2100000,30-01-2026 20:22
,HD4269,POS,CTG,CTG000547,2,300000,15,2100000,30-01-2026 20:22
,HD4269,POS,CTG,,3,250000,15,2100000,30-01-2026 20:22
,HD4268,POS,CTG,CTG000719,1,70000,2,1020000,30-01-2026 20:13
934.0,HD4265,POS,CTG,CTG000636,1,530000,1,530000,30-01-2026 19:30
937.0,HD4262,Zalo,CTG,CTG000606,1,314000,1,334000,30-01-2026 18:41
949.0,HD4250,POS,CTG,CTG000368,1,440000,16,13305000,30-01-2026 13:48
,HD4250,POS,CTG,CTG000722,1,440000,16,13305000,30-01-2026 13:48
,HD4250,POS,CTG,PK00010,1,250000,16,13305000,30-01-2026 13:48
,HD4250,POS,CTG,CTG000555,6,750000,16,13305000,30-01-2026 13:48
,HD4250,POS,CTG,CTG000760,6,715000,16,13305000,30-01-2026 13:48
950.0,HD4249,Facebook,CTG,CTG000588,1,800000,1,825000,30-01-2026 13:43
955.0,HD4244,Admin,CTG,CTG000441,2,2900000,10,29480000,30-01-2026 11:13
